Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,1.258929,1.339286,1.25,1.330357,0.121996,45799600
03/01/1990,1.357143,1.357143,1.339286,1.339286,0.122814,51998800
04/01/1990,1.366071,1.383929,1.330357,1.34375,0.123224,55378400
05/01/1990,1.348214,1.366071,1.321429,1.348214,0.123633,30828000
08/01/1990,1.339286,1.357143,1.321429,1.357143,0.124452,25393200
09/01/1990,1.357143,1.357143,1.321429,1.34375,0.123224,21534800
10/01/1990,1.34375,1.34375,1.276786,1.285714,0.117902,49929600
11/01/1990,1.294643,1.294643,1.232143,1.232143,0.112989,52763200
12/01/1990,1.223214,1.241071,1.205357,1.232143,0.112989,42974400
15/01/1990,1.232143,1.276786,1.223214,1.223214,0.11217,40434800
16/01/1990,1.196429,1.25,1.169643,1.245536,0.114217,53561200
17/01/1990,1.241071,1.241071,1.178571,1.1875,0.108895,49324800
18/01/1990,1.178571,1.196429,1.151786,1.15625,0.10603,68322800
19/01/1990,1.205357,1.232143,1.196429,1.223214,0.11217,66284400
22/01/1990,1.214286,1.232143,1.1875,1.1875,0.108895,36402800
23/01/1990,1.205357,1.223214,1.178571,1.205357,0.110533,35218400
24/01/1990,1.160714,1.223214,1.151786,1.214286,0.111352,42448000
25/01/1990,1.223214,1.241071,1.214286,1.21875,0.111761,27885200
26/01/1990,1.214286,1.214286,1.151786,1.169643,0.107258,45312400
29/01/1990,1.178571,1.196429,1.147321,1.1875,0.108895,29982400
30/01/1990,1.1875,1.232143,1.178571,1.214286,0.111352,29111600
31/01/1990,1.232143,1.241071,1.178571,1.214286,0.111352,35985600
01/02/1990,1.232143,1.236607,1.196429,1.200893,0.110124,29268400
02/02/1990,1.1875,1.241071,1.1875,1.223214,0.11217,29618400
05/02/1990,1.223214,1.258929,1.214286,1.25,0.114627,25438000
06/02/1990,1.241071,1.25,1.214286,1.241071,0.113808,18480000
07/02/1990,1.178571,1.214286,1.160714,1.1875,0.108895,78111600
08/02/1990,1.1875,1.196429,1.151786,1.178571,0.108077,46659200
09/02/1990,1.196429,1.232143,1.1875,1.223214,0.11217,42019600
12/02/1990,1.223214,1.232143,1.205357,1.214286,0.111352,18729200
13/02/1990,1.214286,1.25,1.205357,1.232143,0.112989,25541600
14/02/1990,1.232143,1.241071,1.205357,1.223214,0.11217,24015600
15/02/1990,1.205357,1.223214,1.196429,1.223214,0.11217,24491600
16/02/1990,1.223214,1.232143,1.205357,1.205357,0.121455,31802400
20/02/1990,1.196429,1.205357,1.178571,1.196429,0.120555,30811200
21/02/1990,1.169643,1.223214,1.160714,1.214286,0.122355,43976800
22/02/1990,1.214286,1.232143,1.178571,1.178571,0.118756,48795600
23/02/1990,1.169643,1.196429,1.169643,1.1875,0.119656,37489200
26/02/1990,1.178571,1.223214,1.178571,1.214286,0.122355,19902400
27/02/1990,1.214286,1.223214,1.196429,1.196429,0.120555,18488400
28/02/1990,1.196429,1.214286,1.1875,1.214286,0.122355,27333600
01/03/1990,1.196429,1.241071,1.1875,1.223214,0.123254,50974000
02/03/1990,1.196429,1.241071,1.1875,1.205357,0.121455,26224800
05/03/1990,1.196429,1.241071,1.196429,1.232143,0.124154,45617600
06/03/1990,1.25,1.258929,1.232143,1.258929,0.126853,39004000
07/03/1990,1.25,1.285714,1.25,1.263393,0.127303,51055200
08/03/1990,1.276786,1.321429,1.25,1.3125,0.132251,55960800
09/03/1990,1.3125,1.339286,1.294643,1.316964,0.132701,57618400
12/03/1990,1.330357,1.339286,1.294643,1.308036,0.131801,40989200
13/03/1990,1.303571,1.330357,1.294643,1.316964,0.132701,37144800
14/03/1990,1.3125,1.330357,1.303571,1.321429,0.133151,25446400
15/03/1990,1.303571,1.357143,1.303571,1.3125,0.132251,30058000
16/03/1990,1.428571,1.455357,1.397321,1.4375,0.144846,161190400
19/03/1990,1.446429,1.517857,1.428571,1.513393,0.152494,107948400
20/03/1990,1.508929,1.535714,1.455357,1.477679,0.148895,97829200
21/03/1990,1.473214,1.508929,1.473214,1.486607,0.149795,38183600
22/03/1990,1.491071,1.508929,1.455357,1.455357,0.146646,57915200
23/03/1990,1.473214,1.535714,1.464286,1.508929,0.152044,56996800
26/03/1990,1.517857,1.549107,1.5,1.508929,0.152044,32015200
27/03/1990,1.5,1.508929,1.473214,1.5,0.151144,21151200
28/03/1990,1.5,1.504464,1.464286,1.473214,0.148445,25734800
29/03/1990,1.464286,1.482143,1.455357,1.46875,0.147995,24222800
30/03/1990,1.428571,1.464286,1.428571,1.4375,0.144846,55837600
02/04/1990,1.428571,1.450893,1.410714,1.4375,0.144846,37192400
03/04/1990,1.446429,1.491071,1.446429,1.491071,0.150244,34927200
04/04/1990,1.482143,1.5,1.455357,1.473214,0.148445,37433200
05/04/1990,1.464286,1.473214,1.428571,1.4375,0.144846,27048000
06/04/1990,1.4375,1.473214,1.419643,1.424107,0.143497,29559600
09/04/1990,1.419643,1.482143,1.410714,1.46875,0.147995,26370400
10/04/1990,1.473214,1.5,1.464286,1.473214,0.148445,32830000
11/04/1990,1.482143,1.535714,1.482143,1.517857,0.152943,53289600
12/04/1990,1.535714,1.571429,1.517857,1.544643,0.155642,52950800
16/04/1990,1.553571,1.580357,1.544643,1.5625,0.157442,56722400
17/04/1990,1.544643,1.553571,1.526786,1.544643,0.155642,32776800
18/04/1990,1.544643,1.5625,1.517857,1.544643,0.155642,48361600
19/04/1990,1.491071,1.540179,1.428571,1.4375,0.144846,120369200
20/04/1990,1.459821,1.482143,1.419643,1.4375,0.144846,80880800
23/04/1990,1.4375,1.446429,1.410714,1.419643,0.143047,32088000
24/04/1990,1.428571,1.446429,1.375,1.383929,0.139448,75933200
25/04/1990,1.383929,1.392857,1.366071,1.383929,0.139448,33143600
26/04/1990,1.392857,1.410714,1.361607,1.388393,0.139898,35540400
27/04/1990,1.392857,1.410714,1.383929,1.397321,0.140798,29103200
30/04/1990,1.401786,1.419643,1.392857,1.40625,0.141698,34098400
01/05/1990,1.419643,1.428571,1.40625,1.415179,0.142597,40902400
02/05/1990,1.419643,1.428571,1.401786,1.419643,0.143047,33857600
03/05/1990,1.419643,1.4375,1.419643,1.428571,0.143947,41577200
04/05/1990,1.428571,1.455357,1.401786,1.428571,0.143947,42383600
07/05/1990,1.419643,1.491071,1.419643,1.482143,0.149345,33997600
08/05/1990,1.464286,1.5,1.464286,1.491071,0.150244,28114800
09/05/1990,1.486607,1.5,1.473214,1.495536,0.150694,24309600
10/05/1990,1.491071,1.491071,1.446429,1.477679,0.148895,44760800
11/05/1990,1.477679,1.526786,1.455357,1.522321,0.153393,53810400
14/05/1990,1.526786,1.526786,1.473214,1.491071,0.150244,56596400
15/05/1990,1.477679,1.5,1.464286,1.491071,0.150244,37346400
16/05/1990,1.491071,1.491071,1.464286,1.486607,0.149795,21826000
17/05/1990,1.491071,1.508929,1.464286,1.482143,0.149345,38396400
18/05/1990,1.473214,1.482143,1.410714,1.419643,0.143047,64615600
21/05/1990,1.410714,1.428571,1.383929,1.410714,0.154087,65620800
22/05/1990,1.433036,1.482143,1.428571,1.477679,0.161401,75272400
23/05/1990,1.473214,1.517857,1.473214,1.5,0.163839,51878400
24/05/1990,1.508929,1.508929,1.482143,1.5,0.163839,37032800
25/05/1990,1.410714,1.455357,1.392857,1.428571,0.156037,80830400
29/05/1990,1.428571,1.473214,1.401786,1.464286,0.159938,60802000
30/05/1990,1.486607,1.491071,1.473214,1.477679,0.161401,69204800
31/05/1990,1.482143,1.482143,1.464286,1.473214,0.160913,25771200
01/06/1990,1.477679,1.5,1.455357,1.455357,0.158963,39309200
04/06/1990,1.455357,1.464286,1.419643,1.455357,0.158963,44856000
05/06/1990,1.464286,1.464286,1.392857,1.410714,0.154087,74858000
06/06/1990,1.392857,1.410714,1.383929,1.410714,0.154087,52936800
07/06/1990,1.410714,1.419643,1.375,1.392857,0.152136,46608800
08/06/1990,1.375,1.375,1.339286,1.366071,0.14921,83470800
11/06/1990,1.348214,1.392857,1.348214,1.392857,0.152136,39474400
12/06/1990,1.397321,1.446429,1.383929,1.446429,0.157988,41258000
13/06/1990,1.441964,1.455357,1.419643,1.419643,0.155062,34736800
14/06/1990,1.428571,1.4375,1.401786,1.419643,0.155062,35081200
15/06/1990,1.419643,1.428571,1.397321,1.410714,0.154087,36036000
18/06/1990,1.401786,1.410714,1.392857,1.401786,0.153111,27848800
19/06/1990,1.392857,1.419643,1.370536,1.415179,0.154574,39306400
20/06/1990,1.424107,1.4375,1.419643,1.428571,0.156037,38684800
21/06/1990,1.428571,1.5,1.428571,1.495536,0.163351,52150000
22/06/1990,1.5,1.522321,1.473214,1.482143,0.161888,70994000
25/06/1990,1.482143,1.491071,1.4375,1.473214,0.160913,30500400
26/06/1990,1.491071,1.5,1.441964,1.450893,0.158475,31813600
27/06/1990,1.455357,1.5,1.4375,1.482143,0.161888,24306800
28/06/1990,1.526786,1.544643,1.491071,1.535714,0.16774,62484800
29/06/1990,1.535714,1.602679,1.526786,1.598214,0.174566,81298000
02/07/1990,1.589286,1.589286,1.5625,1.571429,0.171641,33852000
03/07/1990,1.566964,1.589286,1.5625,1.571429,0.171641,24875200
05/07/1990,1.5625,1.580357,1.544643,1.553571,0.16969,26866000
06/07/1990,1.553571,1.607143,1.544643,1.598214,0.174566,52264800
09/07/1990,1.607143,1.678571,1.598214,1.665179,0.181881,78864800
10/07/1990,1.678571,1.696429,1.669643,1.678571,0.183344,90356000
11/07/1990,1.669643,1.678571,1.633929,1.678571,0.183344,61538400
12/07/1990,1.669643,1.696429,1.660714,1.691964,0.184806,45617600
13/07/1990,1.696429,1.705357,1.669643,1.669643,0.182368,57744400
16/07/1990,1.669643,1.683036,1.616071,1.629464,0.17798,44926000
17/07/1990,1.633929,1.642857,1.571429,1.580357,0.172616,34213200
18/07/1990,1.589286,1.607143,1.535714,1.59375,0.174079,72091600
19/07/1990,1.455357,1.517857,1.428571,1.491071,0.162864,146496000
20/07/1990,1.5,1.517857,1.455357,1.464286,0.159938,47961200
23/07/1990,1.464286,1.491071,1.428571,1.482143,0.161888,67547200
24/07/1990,1.5,1.508929,1.464286,1.504464,0.164326,48479200
25/07/1990,1.5,1.544643,1.491071,1.508929,0.164814,26230400
26/07/1990,1.508929,1.517857,1.464286,1.477679,0.161401,20084400
27/07/1990,1.473214,1.491071,1.446429,1.477679,0.161401,15579200
30/07/1990,1.455357,1.517857,1.455357,1.513393,0.165302,21364000
31/07/1990,1.517857,1.526786,1.482143,1.5,0.163839,24001600
01/08/1990,1.5,1.526786,1.482143,1.513393,0.165302,23377200
02/08/1990,1.473214,1.5625,1.473214,1.553571,0.16969,55781600
03/08/1990,1.553571,1.5625,1.419643,1.473214,0.160913,67242000
06/08/1990,1.392857,1.446429,1.375,1.410714,0.154087,44914800
07/08/1990,1.4375,1.450893,1.383929,1.410714,0.154087,49632800
08/08/1990,1.410714,1.455357,1.410714,1.433036,0.156525,25634000
09/08/1990,1.4375,1.446429,1.401786,1.410714,0.154087,24096800
10/08/1990,1.383929,1.401786,1.366071,1.383929,0.151161,25676000
13/08/1990,1.357143,1.428571,1.352679,1.424107,0.15555,39029200
14/08/1990,1.428571,1.428571,1.401786,1.419643,0.155062,24542000
15/08/1990,1.428571,1.4375,1.401786,1.401786,0.153111,23013200
16/08/1990,1.392857,1.415179,1.375,1.375,0.150186,30973600
17/08/1990,1.375,1.375,1.276786,1.303571,0.142384,61527200
20/08/1990,1.303571,1.339286,1.294643,1.3125,0.156571,18765600
21/08/1990,1.276786,1.3125,1.258929,1.294643,0.154441,40261200
22/08/1990,1.321429,1.321429,1.245536,1.254464,0.149648,30679600
23/08/1990,1.223214,1.25,1.196429,1.232143,0.146985,35924000
24/08/1990,1.258929,1.285714,1.241071,1.267857,0.151246,18354000
27/08/1990,1.3125,1.357143,1.294643,1.348214,0.160832,29366400
28/08/1990,1.339286,1.370536,1.330357,1.361607,0.162429,20048000
29/08/1990,1.357143,1.361607,1.3125,1.330357,0.158701,37732800
30/08/1990,1.330357,1.339286,1.285714,1.294643,0.154441,30648800
31/08/1990,1.285714,1.330357,1.285714,1.321429,0.157636,24864000
04/09/1990,1.303571,1.339286,1.303571,1.321429,0.157636,20686400
05/09/1990,1.330357,1.330357,1.276786,1.285714,0.153376,16013200
06/09/1990,1.267857,1.285714,1.258929,1.276786,0.152311,21907200
07/09/1990,1.267857,1.3125,1.254464,1.299107,0.154973,14543200
10/09/1990,1.321429,1.321429,1.276786,1.276786,0.152311,18995200
11/09/1990,1.285714,1.290179,1.205357,1.214286,0.144855,44567600
12/09/1990,1.232143,1.232143,1.196429,1.214286,0.144855,25102000
13/09/1990,1.232143,1.241071,1.178571,1.205357,0.14379,24315200
14/09/1990,1.196429,1.223214,1.1875,1.214286,0.144855,28478800
17/09/1990,1.214286,1.258929,1.196429,1.205357,0.14379,19418000
18/09/1990,1.205357,1.205357,1.178571,1.191964,0.142192,31152800
19/09/1990,1.1875,1.205357,1.142857,1.160714,0.138464,45614800
20/09/1990,1.151786,1.151786,1.116071,1.129464,0.134736,25233600
21/09/1990,1.142857,1.160714,1.107143,1.125,0.134204,38466400
24/09/1990,1.125,1.125,1.0625,1.080357,0.128878,34624800
25/09/1990,1.089286,1.098214,1.044643,1.071429,0.127813,39488400
26/09/1990,1.071429,1.089286,1.0625,1.0625,0.126748,23534000
27/09/1990,1.071429,1.089286,1,1.008929,0.120357,35585200
28/09/1990,1.017857,1.035714,0.973214,1.035714,0.123553,44010400
01/10/1990,1.053571,1.107143,1.044643,1.089286,0.129943,38914400
02/10/1990,1.107143,1.142857,1.053571,1.058036,0.126215,67746000
03/10/1990,1.0625,1.0625,0.955357,0.964286,0.115032,67060000
04/10/1990,0.955357,1,0.9375,1,0.119292,53373600
05/10/1990,0.964286,1.026786,0.964286,1,0.119292,24872400
08/10/1990,1.026786,1.044643,1.008929,1.040179,0.124085,15383200
09/10/1990,1.017857,1.035714,0.991071,1,0.119292,30144800
10/10/1990,0.973214,1,0.928571,0.946429,0.112902,36976800
11/10/1990,0.955357,0.995536,0.910714,0.991071,0.118227,51494800
12/10/1990,1.008929,1.017857,0.964286,1.008929,0.120357,57162000
15/10/1990,1.017857,1.026786,0.950893,0.991071,0.118227,50254400
16/10/1990,0.982143,0.982143,0.866071,0.892857,0.106511,76308400
17/10/1990,0.901786,0.946429,0.892857,0.946429,0.112902,77266000
18/10/1990,0.946429,1.026786,0.946429,1.017857,0.121422,78750000
19/10/1990,1.116071,1.133929,1.080357,1.120536,0.133671,233433200
22/10/1990,1.125,1.125,1.089286,1.111607,0.132606,63184800
23/10/1990,1.107143,1.125,1.080357,1.107143,0.132074,41762000
24/10/1990,1.098214,1.107143,1.071429,1.089286,0.129943,35456400
25/10/1990,1.080357,1.116071,1.058036,1.071429,0.127813,38365600
26/10/1990,1.0625,1.116071,1.0625,1.071429,0.127813,33549600
29/10/1990,1.080357,1.089286,1.0625,1.066964,0.127281,30870000
30/10/1990,1.0625,1.098214,1.03125,1.084821,0.129411,24511200
